"Název","Podtitul","Celexové číslo","Datum dokumentu",
"Rozsudek Soudního dvora (druhého senátu) ze dne 5. dubna 2017.#Úřad Evropské unie pro duševní vlastnictví v. Gilbert Szajner.#Kasační opravný prostředek – Ochranná známka Evropské unie – Řízení o prohlášení neplatnosti – Nařízení (ES) č. 207/2009 – Článek 8 odst. 4 – Článek 65 odst. 1 a 2 – Slovní ochranná známka LAGUIOLE – Návrh na prohlášení neplatnosti založený na starším právu, které vzniklo na základě vnitrostátního práva – Použití vnitrostátního práva úřadem EUIPO – Úloha unijního soudu.#Věc C-598/14 P.","","62014CJ0598","2017-04-05",
"Rozsudek Soudního dvora (velkého senátu) ze dne 14. března 2017.#A a další v. Minister van Buitenlandse Zaken.#Žádost o rozhodnutí o předběžné otázce podaná Raad van State.#Řízení o předběžné otázce – Společná zahraniční a bezpečnostní politika (SZBP) – Zvláštní omezující opatření namířená proti některým osobám a subjektům s cílem bojovat proti terorismu – Společný postoj 2001/931/SZBP – Rámcové rozhodnutí 2002/475/SVV – Nařízení (ES) č. 2580/2001 – Článek 2 odst. 3 – Zápis organizace ‚Tygři osvobození tamilského Ílamu (LTTE)‘ na seznam osob, skupin a subjektů zapojených do teroristických činů – Předběžná otázka týkající se platnosti tohoto zápisu – Soulad s mezinárodním humanitárním právem – Pojem ‚teroristický čin‘ – Činnosti ozbrojených sil při ozbrojených konfliktech.#Věc C-158/14.","","62014CJ0158","2017-03-14",
"Rozsudek Soudního dvora (pátého senátu) ze dne 16. února 2017.#IOS Finance EFC SA v. Servicio Murciano de Salud.#Žádost o rozhodnutí o předběžné otázce podaná Juzgado Contencioso-Administrativo de Murcia.#Řízení o předběžné otázce – Postup proti opožděným platbám v obchodních transakcích – Směrnice 2011/7/EU – Obchodní transakce mezi soukromými podniky a orgány veřejné moci – Vnitrostátní právní úprava podmiňující okamžitou úhradu jistiny pohledávky vzdáním se úroku z prodlení a náhrady nákladů spojených s vymáháním.#Věc C-555/14.","","62014CJ0555","2017-02-16",
"Rozsudek Soudního dvora (pátého senátu) ze dne 16. února 2017.#Brandconcern BV v. Úřad Evropské unie pro duševní vlastnictví.#Kasační opravný prostředek – Ochranná známka Evropské unie – Nařízení (ES) č. 207/2009 – Článek 51 odst. 2 – Slovní ochranná známka LAMBRETTA – Řádné užívání ochranné známky – Návrh na zrušení – Částečné zrušení – Sdělení prezidenta EUIPO č. 2/12 – Časové omezení rozsudku Soudního dvora.#Věc C-577/14 P.","","62014CJ0577","2017-02-16",
"Rozsudek Soudního dvora (třetího senátu) ze dne 9. února 2017.#M v. Minister for Justice and Equality Ireland and the Attorney General.#Žádost o rozhodnutí o předběžné otázce podaná Supreme Court (Irsko).#Řízení o předběžné otázce – Prostor svobody, bezpečnosti a práva – Směrnice 2004/83/ES – Minimální normy, které musí splňovat státní příslušníci třetích zemí nebo osoby bez státní příslušnosti, aby mohli žádat o postavení uprchlíka – Žádost o podpůrnou ochranu – Bezvadnost vnitrostátního řízení o posouzení žádosti o podpůrnou ochranu předložené po zamítnutí žádosti o přiznání postavení uprchlíka – Právo být vyslechnut – Rozsah – Právo na ústní pohovor – Právo na předvolání svědků a na provedení jejich křížového výslechu.#Věc C-560/14.","","62014CJ0560","2017-02-09",
"Rozsudek Soudního dvora (pátého senátu) ze dne 1. února 2017.#Portovesme Srl v. Evropská komise.#Kasační opravný prostředek – Podpora poskytnutá Italskou republikou společnosti Portovesme Srl – Režimy preferenční sazby za elektřinu – Rozhodnutí prohlašující opatření podpory za neslučitelné s vnitřním trhem.#Věc C-606/14 P.","","62014CJ0606","2017-02-01",
"Rozsudek Soudního dvora (velkého senátu) ze dne 31. ledna 2017.#Commissaire général aux réfugiés et aux apatrides v. Mostafa Lounani.#Žádost o rozhodnutí o předběžné otázce podaná Conseil d'État (Belgie).#Řízení o předběžné otázce – Prostor svobody, bezpečnosti a práva – Azyl – Směrnice 2004/83/ES – Minimální normy, které musí splňovat státní příslušníci třetích zemí nebo osoby bez státní příslušnosti, aby mohli žádat o postavení uprchlíka – Článek 12 odst. 2 písm. c) a čl. 12 odst. 3 – Vyloučení z postavení uprchlíka – Pojem ‚činy, které jsou v rozporu se zásadami a cíli OSN‘ – Dosah – Řídící člen teroristické organizace – Odsouzení za trestný čin účasti na činnostech teroristické skupiny – Individuální posouzení.#Věc C-573/14.","","62014CJ0573","2017-01-31",
"Rozsudek Soudního dvora (prvního senátu) ze dne 26. ledna 2017.#Mamoli Robinetteria SpA v. Evropská komise.#Kasační opravný prostředek – Kartelové dohody – Belgický, německý, francouzský, italský, nizozemský a rakouský trh zařízení a pevných součástí koupelen – Koordinace prodejních cen a výměna citlivých obchodních informací – Program shovívavosti – Nařízení (ES) č. 1/2003 – Článek 23 odst. 2 – Horní hranice 10 % z obratu – Výkon pravomoci soudního přezkumu v plné jurisdikci.#Věc C-619/13 P.","","62013CJ0619","2017-01-26",
"Rozsudek Soudního dvora (prvního senátu) ze dne 26. ledna 2017.#Masco Corp. a další v. Evropská komise.#Kasační opravný prostředek – Hospodářská soutěž – Kartelové dohody – Belgický, německý, francouzský, italský, nizozemský a rakouský trh zařízení a pevných součástí koupelen – Koordinace cen a výměny citlivých obchodních informací – Jediné a trvající protiprávní jednání – Povinnost uvést odůvodnění.#Věc C-614/13 P.","","62013CJ0614","2017-01-26",
"Rozsudek Soudního dvora (prvního senátu) ze dne 26. ledna 2017.#Villeroy & Boch AG v. Evropská komise.#Kasační opravný prostředek – Hospodářská soutěž – Kartelové dohody – Belgický, německý, francouzský, italský, nizozemský a rakouský trh zařízení a pevných součástí koupelen – Rozhodnutí, kterým se konstatuje porušení článku 101 SFEU a článku 53 Dohody o Evropském hospodářském prostoru – Koordinace cen a výměny citlivých obchodních informací – Jediné protiprávní jednání – Důkaz – Pokuty – Plná jurisdikce – Přiměřená lhůta – Proporcionalita.#Věc C-625/13 P.","","62013CJ0625","2017-01-26",
"Rozsudek Soudního dvora (prvního senátu) ze dne 26. ledna 2017.#Banco Primus SA v. Jesús Gutiérrez García.#Žádost o rozhodnutí o předběžné otázce podaná Juzgado de Primera Instancia n° 2 de Santander.#Řízení o předběžné otázce – Směrnice 93/13/EHS – Smlouvy uzavřené mezi prodávajícími nebo poskytovateli a spotřebiteli – Zneužívající ujednání – Smlouvy o hypotečním úvěru – Řízení o výkonu rozhodnutí týkajícího se nemovitosti zatížené hypotékou – Propadná lhůta – Pravomoci vnitrostátních soudů – Překážka věci pravomocně rozsouzené.#Věc C-421/14.","","62014CJ0421","2017-01-26",
"Rozsudek Soudního dvora (prvního senátu) ze dne 26. ledna 2017.#Duravit AG a další v. Evropská komise.#Kasační opravný prostředek – Hospodářská soutěž – Kartelové dohody – Belgický, německý, francouzský, italský, nizozemský a rakouský trh zařízení a pevných součástí koupelen – Koordinace cen a výměny citlivých obchodních informací – Nařízení (ES) č. 1/2003 – Článek 31 – Povinnost uvést odůvodnění.#Věc C-609/13 P.","","62013CJ0609","2017-01-26",
"Rozsudek Soudního dvora (prvního senátu) ze dne 26. ledna 2017.#Villeroy &t Boch v. Evropská komise.#Kasační opravný prostředek – Hospodářská soutěž – Kartelové dohody – Belgický, německý, francouzský, italský, nizozemský a rakouský trh zařízení a pevných součástí koupelen – Rozhodnutí, kterým se konstatuje porušení článku 101 SFEU a článku 53 Dohody o Evropském hospodářském prostoru – Koordinace cen a výměny citlivých obchodních informací – Jediné protiprávní jednání – Důkaz – Pokuty – Plná jurisdikce – Přiměřená lhůta – Proporcionalita.#Věc C-644/13 P.","","62013CJ0644","2017-01-26",
"Rozsudek Soudního dvora (prvního senátu) ze dne 26. ledna 2017.#Zucchetti Rubinetteria SpA v. Evropská komise.#Kasační opravný prostředek – Hospodářská soutěž – Kartelové dohody – Belgický, německý, francouzský, italský, nizozemský a rakouský trh zařízení a pevných součástí koupelen – Koordinace cen a výměny citlivých obchodních informací – Nařízení (ES) č. 1/2003 – Článek 23 odst. 2 – Horní hranice 10 % obratu.#Věc C-618/13 P.","","62013CJ0618","2017-01-26",
"Rozsudek Soudního dvora (prvního senátu) ze dne 26. ledna 2017.#Evropská komise v. Koralle Sanitärprodukte GmbH a další.#Kasační opravný prostředek – Hospodářská soutěž – Kartelové dohody – Belgický, německý, francouzský, italský, nizozemský a rakouský trh zařízení a pevných částí koupelen – Koordinace prodejních cen a výměna citlivých obchodních informací – Povinnost uvést odůvodnění.#Věc C-613/13 P.","","62013CJ0613","2017-01-26",
"Rozsudek Soudního dvora (prvního senátu) ze dne 26. ledna 2017.#Villeroy & Boch - Belgium v. Evropská komise.#Kasační opravný prostředek – Hospodářská soutěž – Kartelové dohody – Belgický, německý, francouzský, italský, nizozemský a rakouský trh zařízení a pevných součástí koupelen – Rozhodnutí, kterým se konstatuje porušení článku 101 SFEU a článku 53 Dohody o Evropském hospodářském prostoru – Koordinace cen a výměny citlivých obchodních informací – Jediné protiprávní jednání – Důkaz – Pokuty – Plná jurisdikce – Přiměřená lhůta – Proporcionalita.#Věc C-642/13 P.","","62013CJ0642","2017-01-26",
"Rozsudek Soudního dvora (prvního senátu) ze dne 26. ledna 2017.#Aloys F. Dornbracht GmbH & Co. KG v. Evropská komise.#Kasační opravný prostředek – Kartelové dohody – Belgický, německý, francouzský, italský, nizozemský a rakouský trh zařízení a pevných součástí koupelen – Koordinace prodejních cen a výměna citlivých obchodních informací – Nařízení (ES) č. 1/2003 – Článek 23 odst. 2 – Horní hranice 10 % z obratu – Pokyny pro výpočet pokut z roku 2006 – Zásada zákazu zpětné účinnosti – Výkon pravomoci soudního přezkumu v plné jurisdikci – Nadměrná délka řízení.#Věc C-604/13 P.","","62013CJ0604","2017-01-26",
"Rozsudek Soudního dvora (prvního senátu) ze dne 26. ledna 2017.#Roca SARL v. Evropská komise.#Kasační opravný prostředek – Kartelové dohody – Belgický, německý, francouzský, italský, nizozemský a rakouský trh zařízení a pevných součástí koupelen – Koordinace prodejních cen a výměny citlivých obchodních informací – Pokyny pro výpočet pokut z roku 2006 – Zásada rovného zacházení – Výkon pravomoci soudního přezkumu v plné jurisdikci.#Věc C-638/13 P.","","62013CJ0638","2017-01-26",
"Rozsudek Soudního dvora (prvního senátu) ze dne 26. ledna 2017.#Laufen Austria AG v. Evropská komise.#Kasační opravný prostředek – Kartelové dohody – Belgický, německý, francouzský, italský, nizozemský a rakouský trh zařízení a pevných součástí koupelen – Koordinace cen a výměna citlivých obchodních informací – Nařízení (ES) č. 1/2003 – Článek 23 odst. 2 – Horní hranice 10 % z obratu – Pokyny pro výpočet pokut z roku 2006 – Povinnost uvést odůvodnění – Zásada rovného zacházení – Výkon pravomoci soudního přezkumu v plné jurisdikci.#Věc C-637/13 P.","","62013CJ0637","2017-01-26",
"Rozsudek Soudního dvora (prvního senátu) ze dne 26. ledna 2017.#Villeroy & Boch Austria GmbH v. Evropská komise.#Kasační opravný prostředek – Hospodářská soutěž – Kartelové dohody – Belgický, německý, francouzský, italský, nizozemský a rakouský trh zařízení a pevných součástí koupelen – Rozhodnutí, kterým se konstatuje porušení článku 101 SFEU a článku 53 Dohody o Evropském hospodářském prostoru – Koordinace cen a výměny citlivých obchodních informací – Jediné protiprávní jednání – Důkaz – Pokuty – Plná jurisdikce – Přiměřená lhůta – Proporcionalita.#Věc C-626/13 P.","","62013CJ0626","2017-01-26",
"Rozsudek Soudního dvora (prvního senátu) ze dne 26. ledna 2017.#Hansa Metallwerke AG a další v. Evropská komise.#Kasační opravný prostředek – Kartelové dohody – Belgický, německý, francouzský, italský, nizozemský a rakouský trh zařízení a pevných součástí koupelen – Koordinace prodejních cen a výměna citlivých obchodních informací – Nařízení (ES) č. 1/2003 – Článek 23 odst. 2 – Horní hranice 10 % z obratu – Povinnost uvést odůvodnění – Ochrana legitimního očekávání.#Věc C-611/13 P.","","62013CJ0611","2017-01-26",
"Rozsudek Soudního dvora (prvního senátu) ze dne 26. ledna 2017.#Roca Sanitario, SA v. Evropská komise.#Kasační opravný prostředek – Kartelové dohody – Belgický, německý, francouzský, italský, nizozemský a rakouský trh zařízení a pevných součástí koupelen – Koordinace prodejních cen a výměny citlivých obchodních informací – Pokyny pro výpočet výše pokut z roku 2006 – Povinnost uvést odůvodnění – Zásada rovného zacházení – Proporcionalita – Výkon pravomoci soudního přezkumu v plné jurisdikci.#Věc C-636/13 P.","","62013CJ0636","2017-01-26",
"Rozsudek Soudního dvora (velkého senátu) ze dne 21. prosince 2016.#Evropská komise v. Hansestadt Lübeck, anciennement Flughafen Lübeck GmbH.#Kasační opravný prostředek – Státní podpory – Letištní poplatky – Článek 108 odst. 2 SFEU – Článek 263 čtvrtý pododstavec SFEU – Rozhodnutí zahájit formální vyšetřovací řízení – Přípustnost žaloby na neplatnost – Osobně dotčená osoba – Právní zájem na podání žaloby – Článek 107 odst. 1 SFEU – Podmínka selektivity.#Věc C-524/14 P.","","62014CJ0524","2016-12-21",
"Rozsudek Soudního dvora (čtvrtého senátu) ze dne 21. prosince 2016.#Masco Denmark ApS a Damixa ApS v. Skatteministeriet.#Žádost o rozhodnutí o předběžné otázce podaná Vestre Landsret.#Řízení o předběžné otázce – Svoboda usazování – Daňová právní úprava v oblasti podkapitalizace dceřiných společností – Zahrnutí úroků z půjčky zaplacených nerezidentní dceřinou společností přijímající půjčku do zdanitelného příjmu společnosti poskytující půjčku – Osvobození od daně pro úroky zaplacené rezidentní dceřinou společností přijímající půjčku – Vyvážené rozdělení zdaňovací pravomoci mezi členskými státy – Nezbytnost zabránit nebezpečí daňového úniku.#Věc C-593/14.","","62014CJ0593","2016-12-21",
"Rozsudek Soudního dvora (čtvrtého senátu) ze dne 21. prosince 2016.#Evropská komise v. Portugalská republika.#Nesplnění povinnosti státem – Články 21, 45 a 49 SFEU – Články 28 a 31 Dohody o Evropském hospodářském prostoru – Volný pohyb osob – Volný pohyb pracovníků – Svoboda usazování – Zdanění fyzických osob týkající zisků plynoucích z výměny obchodních podílů – Zdanění kapitálových zisků fyzických osob plynoucích z převodu veškerého majetku vyčleněného na podnikatelskou a jinou výdělečnou činnost – Zdanění jednotlivců na výstupu – Okamžitý odvod daně – Rozdílné zacházení s fyzickými osobami, které směňují obchodní podíly a zachovávají si bydliště na vnitrostátním území, a fyzickými osobami, které provádí takovou směnu a přesouvají své bydliště na území jiného členského státu Evropské unie nebo Evropského hospodářského prostoru – Rozdílné zacházení s fyzickými osobami, které převádí veškerý majetek vztahující se k výkonu samostatné výdělečné činnosti na společnost, která má sídlo a ústředí na portugalském území, a fyzickými osobami, které provádí takový převod na společnost, která má své sídlo nebo ústředí na území jiného členského státu Evropské unie nebo Evropského hospodářského prostoru – Přiměřenost.#Věc C-503/14.","","62014CJ0503","2016-12-21",
"Rozsudek Soudního dvora (pátého senátu) ze dne 24. listopadu 2016.#SECIL - Companhia Geral de Cal e Cimento SA v. Fazenda Pública.#Žádost o rozhodnutí o předběžné otázce podaná Tribunal Tributário de Lisboa.#Řízení o předběžné otázce – Volný pohyb kapitálu – Články 63 až 65 SFEU – Dohoda zakládající přidružení mezi ES a Tuniskem – Články 31, 34 a 89 – Dohoda zakládající přidružení mezi ES a Libanonem – Články 31, 33 a 85 – Daň z příjmu právnických osob – Dividendy, které byly vyplaceny společností se sídlem v členském státě, v němž má sídlo společnost, která je příjemcem – Dividendy, které byly vyplaceny společností se sídlem ve třetím státě, který je stranou dohody o přidružení – Rozdílné zacházení – Omezení – Odůvodnění – Účinnost daňového dohledu – Možnost dovolat se článku 64 SFEU při existenci dohody zakládající přidružení mezi ES a Tuniskem a dohody zakládající přidružení mezi ES a Libanonem.#Věc C-464/14.","","62014CJ0464","2016-11-24",
"Rozsudek Soudního dvora (pátého senátu) ze dne 24. listopadu 2016.#Evropská komise v. Španělské království.#Nesplnění povinnosti státem – Směrnice 2009/147/ES – Ochrana volně žijících ptáků – Zvláště chráněné oblasti – Směrnice 85/337/EHS – Posuzování vlivů některých veřejných a soukromých záměrů na životní prostředí – Směrnice 92/43/EHS – Ochrana přírodních stanovišť.#Věc C-461/14.","","62014CJ0461","2016-11-24",
"Rozsudek Soudního dvora (pátého senátu) ze dne 23. listopadu 2016.#Evropská komise v. Stichting Greenpeace Nederland a Pesticide Action Network Europe (PAN Europe).#Kasační opravný prostředek – Přístup k dokumentům orgánů – Nařízení (ES) č. 1049/2001 – Životní prostředí – Aarhuská úmluva – Nařízení (ES) č. 1367/2006 – Článek 6 odst. 1 – Riziko porušení ochrany obchodních zájmů fyzické nebo právnické osoby – Pojem ‚informace týkající se emisí do životního prostředí‘ – Dokumenty týkající se řízení o povolení účinné látky obsažené v přípravcích na ochranu rostlin – Účinná látka glyfosát.#Věc C-673/13 P.","","62013CJ0673","2016-11-23",
"Rozsudek Soudního dvora (pátého senátu) ze dne 23. listopadu 2016.#Bayer CropScience SA-NV a Stichting De Bijenstichting v. College voor de toelating van gewasbeschermingsmiddelen en biociden.#Žádost o rozhodnutí o předběžné otázce podaná College van Beroep voor het Bedrijfsleven.#Řízení o předběžné otázce – Životní prostředí – Aarhuská úmluva – Směrnice 2003/4/ES – Článek 4 odst. 2 – Přístup veřejnosti k informacím – Pojem ‚informace o emisích do životního prostředí‘ – Směrnice 91/414/EHS – Směrnice 98/8/ES – Nařízení (ES) č. 1107/2009 – Uvádění přípravků na ochranu rostlin a biocidních přípravků na trh – Důvěrnost – Ochrana obchodních a průmyslových zájmů.#Věc C-442/14.","","62014CJ0442","2016-11-23",
"Rozsudek Soudního dvora (čtvrtého senátu) ze dne 10. listopadu 2016.#Evropská komise v. Řecká republika.#Nesplnění povinnosti státem – Životní prostředí – Ochrana přírody – Směrnice 92/43/EHS – Článek 6 odst. 2 a 3 a čl. 12 odst. 1 písm. b) a d) – Volně žijící živočichové a planě rostoucí rostliny – Ochrana přírodních stanovišť – Mořská želva Caretta caretta – Ochrana mořských želv v zálivu Kyparissia – Lokalita významná pro Společenství ‚Thines Kyparissias‘ – Ochrana druhů.#Věc C-504/14.","","62014CJ0504","2016-11-10",
"Rozsudek Soudního dvora (prvního senátu) ze dne 10. listopadu 2016.#DTS Distribuidora de Televisión Digital, SA v. Evropská komise.#Kasační opravný prostředek – Státní podpory – Režim podpor ve prospěch veřejnoprávního vnitrostátního rozhlasového a televizního vysílacího subjektu – Závazky veřejné služby – Náhrada – Článek 106 odst. 2 SFEU – Rozhodnutí, kterým se režim podpory prohlašuje za slučitelný s vnitřním trhem – Změna způsobu financování – Daňová opatření – Daně ukládané poskytovatelům placeného televizního vysílání – Rozhodnutí, kterým se změněný režim podpory prohlašuje za slučitelný s vnitřním trhem – Zohlednění způsobu financování – Existence vztahu nezbytného určení mezi daní a režimem podpory – Přímý vliv výnosu z daní na výši podpory – Pokrytí čistých nákladů spojených s plněním úkolů veřejné služby – Konkurenční vztah mezi daňovým dlužníkem a příjemcem podpory – Zkreslení vnitrostátního práva.#Věc C-449/14 P.","","62014CJ0449","2016-11-10",
"Rozsudek Soudního dvora (pátého senátu) ze dne 9. listopadu 2016.#Davitas GmbH v. Stadt Aschaffenburg.#Žádost o rozhodnutí o předběžné otázce podaná Bayerischer Verwaltungsgerichtshof.#Řízení o předběžné otázce – Nové potraviny a nové složky potravin – Nařízení (ES) č. 258/97 – Článek 1 odst. 2 písm. c) – Pojem ‚potraviny a složky potravin s novou primární molekulární strukturou‘.#Věc C-448/14.","","62014CJ0448","2016-11-09",
"Rozsudek Soudního dvora (velkého senátu) ze dne 8. listopadu 2016.#Trestní řízení proti Atanasi Ogňanovovi.#Žádost o rozhodnutí o předběžné otázce podaná Sofijskim gradskim sadem.#Řízení o předběžné otázce – Justiční spolupráce v trestních věcech – Rámcové rozhodnutí 2008/909/SVV – Článek 17 – Právo, jímž se řídí výkon trestu – Výklad vnitrostátního pravidla vykonávajícího státu, které stanoví snížení trestu odnětí svobody z důvodu pracovní činnosti vykonávané odsouzeným během jeho držení ve věznici ve vydávajícím státě – Právní účinky rámcových rozhodnutí – Povinnost konformního výkladu.#Věc C-554/14.","","62014CJ0554","2016-11-08",
"Rozsudek Soudního dvora (třetího senátu) ze dne 27. října 2016.#James Elliott Construction Limited v. Irish Asphalt Limited.#Žádost o rozhodnutí o předběžné otázce podaná Supreme Court.#Žádost o rozhodnutí o předběžné otázce – Článek 267 SFEU – Příslušnost Soudního dvora – Pojem ‚ustanovení unijního práva‘ – Směrnice 89/106/EHS – Sbližování právních a správních předpisů členských států týkajících se stavebních výrobků – Norma schválená Evropským výborem pro normalizaci (CEN) na základě pověření Komise – Zveřejnění normy v Úředním věstníku Evropské unie – Harmonizovaná norma EN 13242:2002 – Vnitrostátní norma provádějící harmonizovanou normu EN 13242:2002 – Spor týkající se smlouvy mezi jednotlivci – Metoda konstatování (ne)shody výrobku s vnitrostátní normou provádějící harmonizovanou normu – Datum konstatování (ne)shody výrobku s uvedenou normou – Směrnice 98/34/ES – Postup při poskytování informací v oblasti norem a technických předpisů – Působnost.#Věc C-613/14.","","62014CJ0613","2016-10-27",
"Rozsudek Soudního dvora (prvního senátu) ze dne 27. října 2016.#Raad van bestuur van de Sociale verzekeringsbank v. F. Wieland a H. Rothwangl.#Žádost o rozhodnutí o předběžné otázce podaná Centrale Raad van Beroep.#Řízení o předběžné otázce – Články 18 a 45 SFEU – Sociální zabezpečení migrujících pracovníků – Nařízení (EHS) č. 1408/71 – Články 3 a 94 – Nařízení (ES) č. 859/2003 – Článek 2 odst. 1 a 2 – Důchodové pojištění a životní pojištění – Bývalí námořníci, kteří jsou státními příslušníky třetího státu, jenž se stal členem Evropské unie v roce 1995 – Vyloučení nároku na dávky ve stáří.#Věc C-465/14.","","62014CJ0465","2016-10-27",
